Tekninen alue L. 2|24.95623,60.31015
Tekninen alue L. 1|24.95656,60.31026
Lentoasema T1|24.97172,60.31488
Lentoasema T1|24.97157,60.31505
Ilmakehä|24.96205,60.30788
Liikelento|24.97571,60.30686
Hautausmaa|24.99446,60.3161
Hautausmaa|24.99368,60.3158
Tullimies 10|24.99331,60.31192
Tullimies 10|24.99309,60.312
Tullimies 2|24.99453,60.30917
Tullimies 2|24.99454,60.30921
Lentoasema T1|24.97146,60.31516
Tietotie|24.96053,60.30882
Lentoasema T1|24.97095,60.31555
Lentoasema T2|24.96792,60.31848
Tutkatie|24.96598,60.31223
Teknikontie|24.96211,60.30875
Teknikontie|24.96092,60.30799
Mekaanikontie|24.96083,60.30585
Mekaanikontie|24.95976,60.30468
Veromiehen teoll.al.|24.9586,60.30279
Tekninen alue L. 5|24.95688,60.31038
Ilmailulaitos|24.97408,60.30839
Liikelentotie|24.97647,60.30483
Liikelentotie|24.97639,60.30521
Lentoasema T1|24.97083,60.31575
Lentoasema T2|24.96648,60.31796
Teletie|24.96512,60.31528
Tietotie|24.96727,60.31215
Tietotie|24.96612,60.31292
Teletie|24.96558,60.31463
Terminaalihuolto|24.97293,60.30956
Sokkakuja|24.96955,60.30626
Sokkakuja|24.97014,60.30645
Ilmailutie|24.96904,60.31024
Ilmailutie|24.96968,60.31049
Rapuojantie|25.14023,60.26487
Rapuojantie|25.14021,60.265
Nevaniityntie|25.13899,60.269
Nevaniityntie|25.13851,60.26836
Kaivolanmäki|25.1384,60.27321
Kaivolanmäki|25.1386,60.2721
Pitkäniityntie|25.13748,60.27563
Pitkäniityntie|25.13787,60.27523
Nurmimäentie|25.13448,60.27699
Sepänrinne|25.13677,60.29327
Sepänmäki|25.13969,60.29201
Nybyggetinkuja|25.18175,60.28471
Kuusikorvenkuja|25.15787,60.28252
Nurmimäentie|25.13378,60.27794
Nurmimäentie|25.13335,60.27735
Mäntykummuntie|25.13526,60.28507
Mäntykummuntie|25.13485,60.28449
Kalkkiuunintie|25.13926,60.2892
Tikkurila/VR|25.04383,60.29209
Kalkkiuunintie|25.13889,60.28843
Sepänrinne|25.13781,60.29297
Sepänmäki|25.13955,60.29198
Tuliniementie|25.13554,60.29396
Tuliniementie|25.13442,60.29406
Nikuksentie|25.12958,60.29711
Nikuksentie|25.12953,60.297
Mäyrämäentie|25.12568,60.29776
Oravamäentie|25.12546,60.2977
Seutulan posti|24.86176,60.34883
Seutulan posti|24.8611,60.34859
Kappeli|24.85121,60.34658
Suosaarentie|24.85347,60.34762
Suosaarentie|24.8547,60.34842
Uranuksenkuja|25.1052,60.34225
Uranuksenkuja|25.10535,60.34237
Kaakkoisväylä|25.1051,60.34043
Kaakkoisväylä|25.10486,60.33964
Venuksenpuisto|25.10374,60.34357
Venuksenpuisto|25.10246,60.34362
Pihkalantie|25.10071,60.33971
Maarukka|25.10247,60.33849
Murmelikuja|25.10529,60.34595
Vuohirinne|25.10271,60.34527
Saturnuksenkuja|25.10148,60.33979
Saturnuksenkuja|25.10324,60.33962
Marsinkuja|25.09714,60.34133
Maarukka|25.10296,60.33875
Tikkurila/VR|25.04401,60.29206
Kauriintie|25.09491,60.34513
Marsinkuja|25.09689,60.34113
Venuksenkuja|25.09789,60.34338
Venuksenkuja|25.09762,60.34321
Venuksentie|25.09882,60.34443
Murmelikuja|25.10105,60.34457
Kotamäki|24.83892,60.34566
Tapola|24.83135,60.34246
Tapolanrinne|24.83582,60.34392
Tapolanrinne|24.83743,60.3441
Suosaarentie|24.85893,60.35754
Suosaarentie|24.85868,60.35829
Ahoniityntie|24.8624,60.35141
Ahoniityntie|24.86243,60.35209
Katriinan sairaala|24.87288,60.34705
Seutula|24.86503,60.34813
Katriinan sairaala|24.87292,60.34691
Katriinankuja|24.87113,60.34795
Katriinankuja|24.87282,60.34782
Tapolantie|24.84485,60.34946
Königstedt|24.84891,60.34686
Solbackantie|24.84467,60.34941
Lampurintie|24.88353,60.34761
Lampurintie|24.88455,60.34752
Seutulan koulu|24.87616,60.34783
Seutulan koulu|24.87818,60.34765
Seutulan vpk|24.86668,60.34775
Seutula|24.86524,60.34726
Katriinan sairaala|24.87285,60.34675
Vähämuori|25.07124,60.3704
Vähämuori|25.06953,60.37098
Anttilantie|25.07539,60.36808
Satakielenaukio|25.08558,60.36464
Steinerkoulu|25.08191,60.36612
Satakielenaukio|25.08515,60.36471
Steinerkoulu|25.08115,60.36658
Västäräkkikuja|25.07747,60.37234
Västäräkkikuja|25.07646,60.37136
Siepporinne|25.06885,60.36503
Siepporinne|25.06788,60.36436
Anttilantie|25.07406,60.36804
Anttilantie|25.07526,60.36867
Kuusitie|25.05035,60.32503
Koivutaival|25.04372,60.32648
Rekola|25.06424,60.33199
Peijaksentie|25.05775,60.32621
Peijaksentie|25.05898,60.32719
Asolanväylä|25.06007,60.3263
Asolanväylä|25.0598,60.32621
Mikaelintie|25.05415,60.33667
Sydäntie|25.0572,60.33039
Kirurgi|25.05751,60.33215
Peijas|25.06075,60.33213
Mikaelintie|25.054,60.33665
Mikaelintie|25.0541,60.33655
Rekolanmäen koulu|25.05733,60.33625
Hansinkatu|25.05582,60.33666
Rekolanmäki|25.06504,60.33519
Sydäntie|25.05707,60.3305
Peijas|25.06038,60.33219
Haxberg|25.06982,60.34002
Haxberg|25.06971,60.33902
Valtimotie|25.06437,60.3343
Valtimotie|25.06449,60.33399
Ulrikankuja|25.06343,60.33103
Ulrikankuja|25.06272,60.32995
Sairaalakatu|25.06035,60.32859
Sairaalakatu|25.06048,60.32842
Riipiläntie|24.8619,60.32947
Muskettikuja|24.85841,60.3282
Muskettikuja|24.85569,60.32875
Kannistontie|24.85337,60.32945
Liusketie|24.84578,60.3233
Liusketie|24.84473,60.32297
Kenraalintie|24.85237,60.32921
Ritaritie|24.85013,60.32753
Ritaritie|24.85087,60.32798
Huovintie|24.84962,60.32522
Huovintie|24.8498,60.32615
Backas Keimola|24.81824,60.33859
Tähkäkuja|25.06284,60.30026
Tähkäkuja|25.06244,60.30035
Backas Keimola|24.81895,60.33903
Petas|24.82432,60.3383
Petas|24.82468,60.33822
Kylänpääntie|24.83359,60.33486
Kylänpääntie|24.83423,60.33459
Metsätorpantie|24.83558,60.32898
Metsätorpantie|24.83501,60.32981
Moreenitie|24.83767,60.32579
Moreenitie|24.83694,60.32644
Sälpäkuja|24.8409,60.32227
Sälpäkuja|24.84034,60.32314
Kivistöntie|24.84192,60.3205
Kivistöntie|24.84231,60.32009
Kivistön kirkko|24.84409,60.31832
Kivistön kirkko|24.84368,60.3189
Kivistön koulu|24.84833,60.31612
Kivistön koulu|24.84674,60.31717
Tikkurilan lukio|25.05011,60.2985
Kierrekuja|24.8164,60.26236
Maanviljelijänkuja|25.05612,60.29426
Maanviljelijänkuja|25.05428,60.29393
Jokiniemen koulu|25.05193,60.29821
Eino Sirenin katu|25.0506,60.29803
A. Petreliuksen katu|25.04892,60.29529
A. Petreliuksen katu|25.04876,60.29566
Lauri Korpisen katu|25.05029,60.2934
Jokiniemen koulu|25.05371,60.29868
Punaisten puisto|25.05394,60.29912
Urheilukenttä|25.05407,60.29967
Edvard Blomqvistin p|25.0557,60.29828
Toukopolku|25.0669,60.30182
Toukopolku|25.06691,60.30252
Urheilutie|25.05924,60.29521
Ammattikoulu|25.05206,60.30118
Ammattikoulu|25.0531,60.30019
Urheilutie|25.05983,60.29581
Urheilutie|25.0614,60.29549
KRP|25.05016,60.29256
KRP|25.05167,60.29314
Kuninkaalantie|25.04535,60.29036
Kuninkaalantie|25.04725,60.29099
Tuusulantie|24.99971,60.30711
Kairakuja|24.82194,60.26087
Vanha Hämeenkyläntie|24.81948,60.25891
Lastutie|24.83438,60.25939
Kierrekuja|24.81644,60.26245
Naulakuja|24.82955,60.26335
Terätie|24.82428,60.2625
Vapaalantie|24.81846,60.259
Kairakuja|24.82129,60.26046
Apilapuisto|25.00511,60.2944
Apilapuisto|25.00524,60.2937
Tuusulanv. ramppi 4|24.97839,60.28873
Kytökallio|24.94223,60.30272
Tuusulanv. ramppi 3|24.97647,60.28874
Toinen savu|24.95292,60.3018
Tuusulanv. ramppi 2|24.97696,60.28722
Toinen savu|24.95042,60.30215
Tuusulanv. ramppi 1|24.98319,60.28629
Tikkurilantie 2|24.98286,60.29421
Robert Huberin tie|24.96226,60.30087
Veromiehen teoll.al.|24.95713,60.30173
Kierretie|24.82548,60.26319
Koivukuja|24.82646,60.26395
Naulakuja|24.83038,60.2627
Nuijatie|24.83245,60.26113
Nuijatie|24.83262,60.26118
Piikkikuja|24.8294,60.2588
Piikkikuja|24.82918,60.25839
Nuijakuja|24.82769,60.25755
Nuijakuja|24.82674,60.25685
Lastutie|24.83456,60.25875
Tikkurilantie 1|24.98431,60.29431
Köyhämäki|24.98574,60.29424
Kuriiritie|24.99724,60.28851
Peltolantie|25.00565,60.29289
Köyhämäki|24.98582,60.29407
Valkoisenlähteentie|24.99647,60.30875
Ohtolankatu|24.99154,60.29276
Ohtolankatu|24.98939,60.29315
Metsämäentie|25.00077,60.30123
Metsämäentie|25.00067,60.30131
Lastutie|24.83637,60.259
Vapaalanpolku|24.82877,60.25622
Vapaalanpolku|24.82723,60.25561
Koivuvaaran teoll.al|24.81378,60.25993
Koivuvaaran teoll.al|24.81385,60.26044
Kierrepolku|24.81857,60.25613
Kierrepolku|24.81692,60.25722
Koivuvaaranpolku|24.82251,60.25491
Koivuvaaranpolku|24.82217,60.25526
Juurakkokuja|24.99697,60.29059
Juurakkokuja|24.99751,60.29001
Ilmailutie|24.99176,60.30016
Koivulehdontie|24.99553,60.29965
Koivulehdontie|24.99539,60.29945
